question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
pathmnist_5129,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,adipose,A,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,H,E,H,E,True,False,False,,0.2
pathmnist_2640,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,colorectal adenocarcinoma epithelium,I,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,H,G,H,G,True,False,False,,0.2
pathmnist_0532,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,debris,C,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,I,I,I,I,False,False,False,,0.2
pathmnist_0453,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,adipose,A,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,H,G,H,G,True,False,False,,0.2
pathmnist_1086,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,background,B,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,G,G,G,G,False,False,False,,0.2
pathmnist_6544,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,colorectal adenocarcinoma epithelium,I,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,G,F,G,F,True,False,False,,0.2
pathmnist_6086,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,mucus,E,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,G,B,G,B,True,False,False,,0.2
pathmnist_7038,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,colorectal adenocarcinoma epithelium,I,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,F,C,F,C,True,False,False,,0.2
pathmnist_6846,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,normal colon mucosa,G,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,C,D,C,D,True,False,False,,0.2
pathmnist_5616,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,lymphocytes,D,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,G,C,G,C,True,False,False,,0.2
pathmnist_5088,Pathmnist,"Based on this pathology image, what type of tissue/condition is shown?",Classification,normal colon mucosa,G,9,"A,B,C,D,E,F,G,H,I",adipose,background,debris,lymphocytes,mucus,smooth muscle,normal colon mucosa,cancer-associated stroma,colorectal adenocarcinoma epithelium,N/A,I,I,I,I,False,False,False,,0.2
