question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
organsmnist_4128,Organsmnist,What organ is shown in this sagittal CT image?,Classification,femur-right,C,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,G,J,G,J,True,False,False,,0.2
organsmnist_0541,Organsmnist,What organ is shown in this sagittal CT image?,Classification,pancreas,J,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,K,J,K,J,True,False,True,,0.2
organsmnist_5963,Organsmnist,What organ is shown in this sagittal CT image?,Classification,pancreas,J,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,C,H,C,True,False,False,,0.2
organsmnist_3824,Organsmnist,What organ is shown in this sagittal CT image?,Classification,pancreas,J,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,F,B,F,B,True,False,False,,0.2
organsmnist_7653,Organsmnist,What organ is shown in this sagittal CT image?,Classification,bladder,A,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,B,D,B,D,True,False,False,,0.2
organsmnist_8292,Organsmnist,What organ is shown in this sagittal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,G,E,G,E,True,False,False,,0.2
organsmnist_8735,Organsmnist,What organ is shown in this sagittal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,G,H,G,H,True,False,False,,0.2
organsmnist_3810,Organsmnist,What organ is shown in this sagittal CT image?,Classification,kidney-left,E,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,K,H,K,H,True,False,False,,0.2
organsmnist_0826,Organsmnist,What organ is shown in this sagittal CT image?,Classification,kidney-right,F,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,A,B,A,B,True,False,False,,0.2
organsmnist_5995,Organsmnist,What organ is shown in this sagittal CT image?,Classification,kidney-right,F,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,D,J,D,J,True,False,False,,0.2
organsmnist_4729,Organsmnist,What organ is shown in this sagittal CT image?,Classification,kidney-right,F,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,I,C,I,C,True,False,False,,0.2
organsmnist_2308,Organsmnist,What organ is shown in this sagittal CT image?,Classification,femur-left,B,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,B,I,B,I,True,True,False,,0.2
organsmnist_7738,Organsmnist,What organ is shown in this sagittal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,G,J,G,J,True,False,False,,0.2
organsmnist_4025,Organsmnist,What organ is shown in this sagittal CT image?,Classification,kidney-right,F,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,B,A,B,A,True,False,False,,0.2
organsmnist_4749,Organsmnist,What organ is shown in this sagittal CT image?,Classification,kidney-left,E,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,A,J,A,J,True,False,False,,0.2
organsmnist_4814,Organsmnist,What organ is shown in this sagittal CT image?,Classification,lung-left,H,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,E,H,E,H,True,False,True,,0.2
organsmnist_7456,Organsmnist,What organ is shown in this sagittal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,H,H,H,False,False,False,,0.2
organsmnist_1901,Organsmnist,What organ is shown in this sagittal CT image?,Classification,lung-left,H,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,E,B,E,B,True,False,False,,0.2
organsmnist_4743,Organsmnist,What organ is shown in this sagittal CT image?,Classification,heart,D,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,F,H,F,H,True,False,False,,0.2
organsmnist_7539,Organsmnist,What organ is shown in this sagittal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,C,J,C,J,True,False,False,,0.2
organsmnist_0563,Organsmnist,What organ is shown in this sagittal CT image?,Classification,femur-right,C,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,C,G,C,G,True,True,False,,0.2
