question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
retinamnist_0000,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,2,C,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,D,D,D,False,False,False,,0.2
retinamnist_0001,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,1,B,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,D,D,D,False,False,False,,0.2
retinamnist_0002,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,A,E,A,True,False,True,,0.2
retinamnist_0003,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,D,E,D,True,False,False,,0.2
retinamnist_0004,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,B,D,B,D,True,False,False,,0.2
retinamnist_0005,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,E,D,E,True,False,False,,0.2
retinamnist_0007,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,2,C,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
retinamnist_0006,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,2,C,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,B,E,B,True,False,False,,0.2
retinamnist_0008,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,D,E,D,True,False,False,,0.2
retinamnist_0012,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,True,True,,0.2
retinamnist_0010,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,2,C,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,D,D,D,False,False,False,,0.2
retinamnist_0009,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,3,D,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,C,A,C,A,True,False,False,,0.2
retinamnist_0014,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,A,E,A,True,False,True,,0.2
retinamnist_0011,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,2,C,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,C,E,C,True,False,True,,0.2
retinamnist_0013,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,3,D,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,C,D,C,D,True,False,True,,0.2
retinamnist_0015,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,A,D,A,D,True,True,False,,0.2
retinamnist_0017,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,2,C,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,A,E,A,True,False,False,,0.2
retinamnist_0016,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,E,D,E,True,False,False,,0.2
retinamnist_0020,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,C,D,C,True,False,False,,0.2
retinamnist_0019,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,C,E,C,True,False,False,,0.2
retinamnist_0022,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,A,D,A,D,True,True,False,,0.2
retinamnist_0021,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,C,B,C,B,True,False,False,,0.2
retinamnist_0023,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,B,D,B,D,True,False,False,,0.2
retinamnist_0018,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,4,E,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,A,E,A,True,True,False,,0.2
retinamnist_0024,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,2,C,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,D,D,D,False,False,False,,0.2
retinamnist_0025,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,B,D,B,D,True,False,False,,0.2
retinamnist_0026,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,0,A,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,C,E,C,True,False,False,,0.2
retinamnist_0027,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,3,D,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,E,A,E,A,True,False,False,,0.2
retinamnist_0029,Retinamnist,What type of retinal condition is shown in this fundus image?,Classification,3,D,5,"A,B,C,D,E",0,1,2,3,4,N/A,N/A,N/A,N/A,N/A,D,C,D,C,True,True,False,,0.2
