question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
octmnist_0510,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,D,B,D,B,True,False,True,,0.2
octmnist_0534,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,normal,D,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,C,B,C,B,True,False,False,,0.2
octmnist_0125,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,choroidal neovascularization,A,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,D,D,D,D,False,False,False,,0.2
octmnist_0448,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,B,C,B,C,True,True,False,,0.2
octmnist_0354,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,normal,D,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,False,False,,0.2
octmnist_0135,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,drusen,C,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,C,C,C,C,False,True,True,,0.2
octmnist_0047,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,D,C,D,C,True,False,False,,0.2
octmnist_0521,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,choroidal neovascularization,A,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,D,C,D,C,True,False,False,,0.2
octmnist_0543,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,D,A,D,A,True,False,False,,0.2
octmnist_0157,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,choroidal neovascularization,A,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,A,C,A,C,True,True,False,,0.2
octmnist_0874,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,choroidal neovascularization,A,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,A,C,A,C,True,True,False,,0.2
octmnist_0239,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,B,D,B,D,True,True,False,,0.2
octmnist_0379,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,normal,D,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,B,C,B,C,True,False,False,,0.2
octmnist_0515,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,D,D,D,D,False,False,False,,0.2
octmnist_0265,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
octmnist_0610,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,choroidal neovascularization,A,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,D,B,D,B,True,False,False,,0.2
octmnist_0217,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,normal,D,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
octmnist_0788,Octmnist,What type of retinal condition is shown in this OCT image?,Classification,diabetic macular edema,B,4,"A,B,C,D",choroidal neovascularization,diabetic macular edema,drusen,normal,N/A,N/A,N/A,N/A,N/A,N/A,A,C,A,C,True,False,False,,0.2
