question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
organcmnist_5977,Organcmnist,What organ is shown in this coronal CT image?,Classification,kidney-right,F,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,F,B,F,B,True,True,False,,0.2
organcmnist_3253,Organcmnist,What organ is shown in this coronal CT image?,Classification,femur-left,B,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,D,K,D,K,True,False,False,,0.2
organcmnist_5996,Organcmnist,What organ is shown in this coronal CT image?,Classification,lung-left,H,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,C,I,C,I,True,False,False,,0.2
organcmnist_3225,Organcmnist,What organ is shown in this coronal CT image?,Classification,liver,G,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,J,K,J,K,True,False,False,,0.2
organcmnist_5847,Organcmnist,What organ is shown in this coronal CT image?,Classification,lung-right,I,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,A,A,A,A,False,False,False,,0.2
organcmnist_6187,Organcmnist,What organ is shown in this coronal CT image?,Classification,liver,G,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,C,F,C,F,True,False,False,,0.2
organcmnist_7724,Organcmnist,What organ is shown in this coronal CT image?,Classification,heart,D,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,B,E,B,E,True,False,False,,0.2
organcmnist_1011,Organcmnist,What organ is shown in this coronal CT image?,Classification,liver,G,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,K,C,K,C,True,False,False,,0.2
organcmnist_6780,Organcmnist,What organ is shown in this coronal CT image?,Classification,pancreas,J,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,C,A,C,A,True,False,False,,0.2
organcmnist_0479,Organcmnist,What organ is shown in this coronal CT image?,Classification,liver,G,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,I,G,I,G,True,False,True,,0.2
organcmnist_5193,Organcmnist,What organ is shown in this coronal CT image?,Classification,bladder,A,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,I,F,I,F,True,False,False,,0.2
organcmnist_5203,Organcmnist,What organ is shown in this coronal CT image?,Classification,kidney-left,E,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,A,A,A,A,False,False,False,,0.2
organcmnist_1989,Organcmnist,What organ is shown in this coronal CT image?,Classification,kidney-right,F,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,I,K,I,K,True,False,False,,0.2
organcmnist_1341,Organcmnist,What organ is shown in this coronal CT image?,Classification,lung-right,I,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,E,G,E,G,True,False,False,,0.2
organcmnist_4984,Organcmnist,What organ is shown in this coronal CT image?,Classification,kidney-left,E,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,J,I,J,I,True,False,False,,0.2
organcmnist_5739,Organcmnist,What organ is shown in this coronal CT image?,Classification,femur-left,B,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,B,I,B,I,True,True,False,,0.2
organcmnist_4263,Organcmnist,What organ is shown in this coronal CT image?,Classification,kidney-right,F,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,I,H,I,True,False,False,,0.2
organcmnist_2092,Organcmnist,What organ is shown in this coronal CT image?,Classification,liver,G,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,I,H,I,True,False,False,,0.2
organcmnist_6058,Organcmnist,What organ is shown in this coronal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,I,A,I,A,True,False,False,,0.2
organcmnist_1420,Organcmnist,What organ is shown in this coronal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,B,H,B,True,False,False,,0.2
organcmnist_7194,Organcmnist,What organ is shown in this coronal CT image?,Classification,lung-left,H,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,D,G,D,G,True,False,False,,0.2
organcmnist_1445,Organcmnist,What organ is shown in this coronal CT image?,Classification,heart,D,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,J,A,J,A,True,False,False,,0.2
organcmnist_6097,Organcmnist,What organ is shown in this coronal CT image?,Classification,kidney-left,E,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,K,H,K,True,False,False,,0.2
organcmnist_0189,Organcmnist,What organ is shown in this coronal CT image?,Classification,spleen,K,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,G,A,G,A,True,False,False,,0.2
organcmnist_1329,Organcmnist,What organ is shown in this coronal CT image?,Classification,liver,G,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,D,H,D,True,False,False,,0.2
organcmnist_4034,Organcmnist,What organ is shown in this coronal CT image?,Classification,kidney-left,E,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,F,H,F,H,True,False,False,,0.2
organcmnist_6112,Organcmnist,What organ is shown in this coronal CT image?,Classification,heart,D,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,E,H,E,True,False,False,,0.2
organcmnist_8107,Organcmnist,What organ is shown in this coronal CT image?,Classification,femur-right,C,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,H,B,H,B,True,False,False,,0.2
organcmnist_3714,Organcmnist,What organ is shown in this coronal CT image?,Classification,femur-left,B,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,I,C,I,C,True,False,False,,0.2
organcmnist_6869,Organcmnist,What organ is shown in this coronal CT image?,Classification,pancreas,J,11,"A,B,C,D,E,F,G,H,I,J,K",bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,B,E,B,E,True,False,False,,0.2
