question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
bloodmnist_2075,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,monocyte,F,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,H,A,H,A,True,False,False,,0.2
bloodmnist_0834,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,basophil,A,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,G,A,G,A,True,False,True,,0.2
bloodmnist_0198,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,eosinophil,B,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,B,D,B,D,True,True,False,,0.2
bloodmnist_3327,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,platelet,H,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,A,C,A,C,True,False,False,,0.2
bloodmnist_0988,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,erythroblast,C,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,E,B,E,B,True,False,False,,0.2
bloodmnist_0207,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,neutrophil,G,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,G,H,G,H,True,True,False,,0.2
bloodmnist_2230,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,neutrophil,G,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,A,A,A,A,False,False,False,,0.2
bloodmnist_1872,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,erythroblast,C,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,A,E,A,E,True,False,False,,0.2
bloodmnist_0104,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,platelet,H,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,E,E,E,E,False,False,False,,0.2
bloodmnist_2597,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,lymphocyte,E,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,E,F,E,F,True,True,False,,0.2
bloodmnist_2811,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,erythroblast,C,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,A,B,A,B,True,False,False,,0.2
bloodmnist_3084,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",D,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,G,D,G,D,True,False,True,,0.2
bloodmnist_2797,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,erythroblast,C,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,H,D,H,D,True,False,False,,0.2
bloodmnist_2535,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,eosinophil,B,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,F,C,F,C,True,False,False,,0.2
bloodmnist_0996,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,neutrophil,G,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,A,F,A,F,True,False,False,,0.2
bloodmnist_3121,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,platelet,H,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,H,F,H,F,True,True,False,,0.2
bloodmnist_1387,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,platelet,H,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,F,H,F,H,True,False,True,,0.2
bloodmnist_0001,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,basophil,A,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,B,D,B,D,True,False,False,,0.2
bloodmnist_0140,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,eosinophil,B,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,H,D,H,D,True,False,False,,0.2
bloodmnist_2186,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,platelet,H,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,B,H,B,H,True,False,True,,0.2
bloodmnist_3345,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",D,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,D,H,D,H,True,True,False,,0.2
bloodmnist_0715,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,basophil,A,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,E,E,E,E,False,False,False,,0.2
bloodmnist_2848,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,eosinophil,B,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,D,D,D,D,False,False,False,,0.2
bloodmnist_0827,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,neutrophil,G,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,H,G,H,G,True,False,True,,0.2
bloodmnist_1218,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,monocyte,F,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,G,G,G,G,False,False,False,,0.2
bloodmnist_0945,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",D,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,H,F,H,F,True,False,False,,0.2
bloodmnist_0986,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,platelet,H,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,E,E,E,E,False,False,False,,0.2
bloodmnist_1223,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",D,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,G,E,G,E,True,False,False,,0.2
bloodmnist_0490,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,eosinophil,B,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,G,A,G,A,True,False,False,,0.2
bloodmnist_0874,Bloodmnist,What type of blood cell is shown in this microscopy image?,Classification,eosinophil,B,8,"A,B,C,D,E,F,G,H",basophil,eosinophil,erythroblast,"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",lymphocyte,monocyte,neutrophil,platelet,N/A,N/A,E,D,E,D,True,False,False,,0.2
