question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
breastmnist_0000,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,True,True,,0.2
breastmnist_0001,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0002,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0005,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0007,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
breastmnist_0006,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,True,True,,0.2
breastmnist_0003,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0004,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0009,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0010,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
breastmnist_0008,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0011,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0012,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0013,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,False,True,,0.2
breastmnist_0014,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0015,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0016,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0017,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0019,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0020,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,False,True,,0.2
breastmnist_0018,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0021,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0023,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,True,True,,0.2
breastmnist_0022,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0024,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
breastmnist_0025,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0026,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,True,True,,0.2
breastmnist_0027,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0028,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0029,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0030,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0031,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0032,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0033,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0034,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0035,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,False,True,,0.2
breastmnist_0036,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0037,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0038,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0039,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0040,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,True,True,,0.2
breastmnist_0042,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0043,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0041,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0044,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0045,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0047,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0046,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0048,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0049,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0051,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0050,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0052,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0053,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0055,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
breastmnist_0054,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0056,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0058,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,False,True,,0.2
breastmnist_0057,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0059,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0060,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0061,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0062,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0063,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0064,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0065,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0067,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0066,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0068,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
breastmnist_0069,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0070,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0071,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0072,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
breastmnist_0073,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
breastmnist_0074,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
breastmnist_0075,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0076,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
breastmnist_0077,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,malignant,A,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
breastmnist_0078,Breastmnist,What type of breast tissue is shown in this ultrasound image?,Classification,"normal, benign",B,2,"A,B",malignant,"normal, benign",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
