question_id,dataset,question,question_type,gt_answer,correct_label,n_classes,option_letters,option_A,option_B,option_C,option_D,option_E,option_F,option_G,option_H,option_I,option_J,initial_response,followup_response,initial_letter,followup_letter,changed_answer,initial_correct,followup_correct,error,processing_time
pneumoniamnist_0000,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
pneumoniamnist_0003,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,normal,A,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,True,False,,0.2
pneumoniamnist_0001,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,normal,A,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
pneumoniamnist_0006,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
pneumoniamnist_0005,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
pneumoniamnist_0004,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,B,A,B,True,False,True,,0.2
pneumoniamnist_0007,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
pneumoniamnist_0002,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.21
pneumoniamnist_0008,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
pneumoniamnist_0009,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,normal,A,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,False,True,,0.2
pneumoniamnist_0010,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
pneumoniamnist_0011,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
pneumoniamnist_0012,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
pneumoniamnist_0013,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
pneumoniamnist_0014,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,False,False,False,,0.2
pneumoniamnist_0015,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
pneumoniamnist_0016,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
pneumoniamnist_0017,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,A,B,A,True,True,False,,0.2
pneumoniamnist_0018,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,pneumonia,B,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,True,True,,0.2
pneumoniamnist_0019,Pneumoniamnist,Does this chest X-ray show pneumonia?,Classification,normal,A,2,"A,B",normal,pneumonia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B,B,B,B,False,False,False,,0.2
